Date,Revenue,Orders,Marketing_Spend
2024-01-01,12447.04,296,2981.01
2024-01-02,14656.67,153,1825.24
2024-01-03,16084.55,184,1744.04
2024-01-04,15023.4,341,2552.83
2024-01-05,10449.44,198,1681.61
2024-01-06,8600.49,166,2861.51
2024-01-07,10953.04,321,2716.83
2024-01-08,13003.54,369,1857.99
2024-01-09,14671.43,307,2501.74
2024-01-10,16302.79,195,2509.09
2024-01-11,13548.44,155,1206.25
2024-01-12,10553.87,248,2805.11
2024-01-13,9341.83,382,2010.5
2024-01-14,8122.64,186,2652.91
2024-01-15,11073.27,429,1640.1
2024-01-16,,330,2791.05
2024-01-17,15215.78,244,1778.4
2024-01-18,14561.19,248,1021.68
2024-01-19,10468.65,337,2810.76
2024-01-20,8165.84,265,1182.57
2024-01-21,11476.53,340,1638.63
2024-01-22,12735.35,402,2900.12
2024-01-23,15780.43,310,2901.21
2024-01-24,15157.91,405,2146.88
2024-01-25,14101.27,277,2263.67
2024-01-26,11698.56,167,1896.89
2024-01-27,8713.87,430,1586.42
2024-01-28,10808.42,372,1657.33
2024-01-29,12710.82,203,2345.04
2024-01-30,15769.98,207,2504.75
2024-01-31,16211.49,323,2583.16
2024-02-01,16571.12,429,2579.24
2024-02-02,11899.43,263,1182.41
2024-02-03,9110.67,437,1988.84
2024-02-04,11523.43,300,1115.12
2024-02-05,12465.49,276,2099.06
2024-02-06,16533.33,304,1883.06
2024-02-07,15302.18,422,2775.41
2024-02-08,14021.55,253,1701.83
2024-02-09,12401.6,448,1234.13
2024-02-10,11040.08,395,1285.98
2024-02-11,11250.22,325,2523.02
2024-02-12,,188,2236.44
2024-02-13,16387.2,319,1202.25
2024-02-14,16048.06,396,1168.21
2024-02-15,14881.91,175,2401.94
2024-02-16,12122.7,162,1145.53
2024-02-17,11639.72,185,2643.72
2024-02-18,11718.1,322,2412.48
2024-02-19,12603.21,169,1162.7
2024-02-20,17262.72,413,1169.68
2024-02-21,17345.0,291,2973.28
2024-02-22,15233.39,292,1748.54
2024-02-23,13400.63,241,1741.28
2024-02-24,11929.06,437,2625.6
2024-02-25,12559.84,364,2894.5
2024-02-26,13747.5,200,2972.0
2024-02-27,17005.61,302,2506.76
