Timestamp,Footfall,Transactions,Avg_Basket_Size
2024-05-01,2113,592,70.9
2024-05-02,2163,606,42.17
2024-05-03,1786,500,54.01
2024-05-04,1293,362,56.33
2024-05-05,1455,407,61.35
2024-05-06,1824,511,75.11
2024-05-07,1799,504,54.47
2024-05-08,2282,639,54.49
2024-05-09,1950,546,68.55
2024-05-10,1797,503,58.28
2024-05-11,1325,371,50.09
2024-05-12,1169,327,58.29
2024-05-13,1467,411,47.07
2024-05-14,2057,576,48.35
2024-05-15,2239,627,59.94
2024-05-16,1914,536,57.08
2024-05-17,1807,506,74.93
2024-05-18,1190,333,55.05
2024-05-19,1430,400,62.9
2024-05-20,1529,428,64.76
2024-05-21,1952,546,42.47
2024-05-22,2207,618,65.89
2024-05-23,1920,538,48.41
2024-05-24,1653,463,76.6
2024-05-25,1591,445,47.35
2024-05-26,1353,379,56.93
2024-05-27,1836,514,45.07
2024-05-28,1880,526,77.89
2024-05-29,2279,638,60.08
2024-05-30,2266,634,63.43
2024-05-31,1340,375,44.41
2024-06-01,1320,370,69.0
2024-06-02,1526,427,49.56
2024-06-03,1681,471,74.33
2024-06-04,2105,589,49.39
2024-06-05,2109,591,48.86
2024-06-06,2062,577,43.32
2024-06-07,1688,473,58.99
2024-06-08,1615,452,62.33
2024-06-09,1478,414,44.37
2024-06-10,1762,493,69.92
2024-06-11,1988,557,58.32
2024-06-12,2127,596,60.88
2024-06-13,1985,556,57.87
2024-06-14,1770,496,56.43
2024-06-15,1376,385,62.15
2024-06-16,1483,415,47.59
2024-06-17,2022,566,48.55
2024-06-18,2180,610,73.02
2024-06-19,2151,602,76.06
2024-06-20,2230,624,55.44
2024-06-21,1650,462,51.75
2024-06-22,1134,317,65.18
2024-06-23,1288,361,56.71
2024-06-24,1430,401,42.91
2024-06-25,1997,559,47.62
2024-06-26,2203,617,67.78
2024-06-27,2301,644,65.72
2024-06-28,1760,493,42.98
2024-06-29,1407,394,49.99
2024-06-30,1564,438,50.32
2024-07-01,1379,386,66.19
2024-07-02,2085,584,42.71
2024-07-03,2316,648,45.75
2024-07-04,1828,512,70.8
2024-07-05,1883,527,48.43
2024-07-06,1490,417,65.5
2024-07-07,1377,386,50.57
2024-07-08,1806,506,45.58
2024-07-09,2390,669,50.75
2024-07-10,2227,624,68.0
2024-07-11,2087,584,72.81
2024-07-12,1642,460,71.89
2024-07-13,1312,367,56.3
2024-07-14,1564,438,66.05
2024-07-15,1583,443,49.38
2024-07-16,2060,577,52.55
2024-07-17,2128,596,74.27
2024-07-18,2121,594,42.47
2024-07-19,1761,493,45.08
2024-07-20,1595,447,49.48
2024-07-21,1363,382,42.96
2024-07-22,1671,468,48.53
2024-07-23,1903,533,62.99
2024-07-24,2133,597,57.17
2024-07-25,2106,590,74.14
2024-07-26,1825,511,71.43
2024-07-27,1301,364,54.31
2024-07-28,1570,440,51.34
2024-07-29,1914,536,55.67
2024-07-30,2111,591,63.25
2024-07-31,2482,695,51.65
2024-08-01,1933,541,64.47
2024-08-02,1524,427,56.74
2024-08-03,1173,328,61.87
2024-08-04,1664,466,57.7
2024-08-05,1809,507,52.6
2024-08-06,2041,571,76.14
2024-08-07,2242,628,69.49
2024-08-08,1881,527,47.04
2024-08-09,2078,582,73.26
2024-08-10,1459,409,59.55
2024-08-11,1456,408,74.2
2024-08-12,1820,510,70.79
2024-08-13,2122,594,57.31
2024-08-14,2234,625,42.81
2024-08-15,1931,541,51.67
2024-08-16,1782,499,61.5
2024-08-17,1722,482,64.81
2024-08-18,1641,460,51.28
2024-08-19,1950,546,47.02
2024-08-20,1973,552,72.06
2024-08-21,2052,574,77.44
2024-08-22,2031,569,60.92
2024-08-23,1719,481,48.18
2024-08-24,1604,449,51.8
2024-08-25,1186,332,42.66
2024-08-26,1940,543,74.91
2024-08-27,2026,567,46.24
2024-08-28,2136,598,62.75
