Month,MRR,Active_Customers,Churn_Rate
2022-01-01,51802.83,1038,1.48
2022-02-01,52338.91,455,3.25
2022-03-01,56555.59,1125,2.57
2022-04-01,55402.18,925,2.76
2022-05-01,57581.87,873,3.02
2022-06-01,62242.44,427,2.35
2022-07-01,65573.88,477,1.4
2022-08-01,68003.86,615,2.44
2022-09-01,68624.1,785,2.55
2022-10-01,74197.81,764,2.91
2022-11-01,76083.11,1065,2.19
2022-12-01,81946.26,925,1.49
2023-01-01,85233.99,1098,1.85
2023-02-01,87481.95,711,2.04
2023-03-01,91980.61,406,2.69
2023-04-01,95493.07,402,2.51
2023-05-01,101043.29,1022,2.02
2023-06-01,106815.01,1149,3.47
2023-07-01,109241.07,762,2.59
2023-08-01,115997.87,1150,1.75
2023-09-01,119949.39,907,1.43
2023-10-01,125060.61,673,1.55
2023-11-01,131554.16,905,1.77
2023-12-01,136366.03,1138,1.57
2024-01-01,143136.31,414,1.63
2024-02-01,148834.27,591,1.86
2024-03-01,159391.62,1030,1.6
2024-04-01,164142.79,884,3.26
2024-05-01,170645.33,427,1.38
2024-06-01,179458.6,1113,2.41
2024-07-01,187131.11,438,2.14
2024-08-01,195427.71,672,3.46
2024-09-01,205236.05,630,1.46
2024-10-01,214610.52,485,2.12
2024-11-01,222681.48,873,3.43
2024-12-01,232676.41,525,3.19
